poem_id,master_poem_id
skvr06135910,skvr07202000
skvr07215590,skvr07202450
skvr07102550,skvr07202830
skvr07230010,skvr07202930
skvr07208820,skvr07202930
skvr07103030,skvr07202940
skvr07106150,skvr07202940
skvr07100950,skvr07203040
skvr07100951,skvr07203041
skvr07208840,skvr07203041
skvr07218320,skvr07203080
skvr07231850,skvr07203150
skvr07123610,skvr07203270
skvr07110610,skvr07203370
skvr07207820,skvr07203500
skvr07207840,skvr07203510
skvr07100910,skvr07203850
skvr07208030,skvr07203850
skvr07217910,skvr07203850
skvr07218020,skvr07203890
skvr07102870,skvr07203910
skvr07218140,skvr07204000
skvr06134150,skvr07204130
skvr07208530,skvr07204290
skvr07208420,skvr07204300
skvr07220940,skvr07204300
skvr07102740,skvr07204330
skvr07105010,skvr07204360
skvr07111720,skvr07204610
skvr07208850,skvr07204610
skvr07208910,skvr07204691
skvr07213580,skvr07204720
skvr07218330,skvr07204740
skvr07227760,skvr07204740
skvr07208970,skvr07204750
skvr07209050,skvr07204830
skvr06136500,skvr07205240
skvr07102670,skvr07206040
skvr07100880,skvr07206110
skvr07220660,skvr07206230
skvr07202390,skvr07206320
skvr07207750,skvr07206320
skvr07202500,skvr07206330
skvr07203660,skvr07206440
skvr07218060,skvr07206780
skvr07220760,skvr07206780
skvr07102980,skvr07207090
skvr07216950,skvr07207170
skvr07203320,skvr07207680
skvr07203340,skvr07207700
skvr07203420,skvr07207760
skvr07203460,skvr07207810
skvr07102710,skvr07207860
skvr07203630,skvr07207880
skvr07102830,skvr07208070
skvr07229980,skvr07208140
skvr07218050,skvr07208140
skvr07229970,skvr07208190
skvr07203940,skvr07208200
skvr07204080,skvr07208320
skvr07204210,skvr07208430
skvr07204280,skvr07208500
skvr07207600,skvr07209540
skvr07127980,skvr07209970
skvr07208110,skvr07210010
skvr07217720,skvr07210090
skvr07229950,skvr07210260
skvr07207780,skvr07210260
skvr07217770,skvr07210350
skvr07220610,skvr07210350
skvr07220650,skvr07210360
skvr07223370,skvr07210550
skvr07220690,skvr07210620
skvr07220700,skvr07210680
skvr07220730,skvr07210790
skvr07220330,skvr07210900
skvr07220790,skvr07210900
skvr07220800,skvr07211060
skvr07220830,skvr07211070
skvr07108240,skvr07211100
skvr07252420,skvr07211170
skvr07218170,skvr07211250
skvr07208350,skvr07211250
skvr07220860,skvr07211250
skvr07220950,skvr07211550
skvr07208290,skvr07212890
skvr06133210,skvr07213510
skvr06133220,skvr07213520
skvr06133190,skvr07213610
skvr06136490,skvr07213650
skvr06136520,skvr07213660
skvr06132020,skvr07213890
skvr07221160,skvr07214130
skvr06134300,skvr07214310
skvr06137530,skvr07214450
skvr06137540,skvr07214460
skvr06138510,skvr07215080
skvr07220570,skvr07215510
skvr07200640,skvr07215640
skvr07216520,skvr07215690
